City,Current_Risk,Trend_Risk,Exposure_Risk,Composite_Risk,Risk_Category
Bangalore,11.368222515300413,74.981848847637,12.0,27.366395721089496,Medium
Kolkata,11.418200861944786,67.61805582537556,18.0,26.45543447351076,Medium
Delhi,11.450016539029217,62.05518761157384,25.0,26.13380682631099,Medium
Ahmedabad,11.421327326108468,65.76564143388252,15.0,25.54420675413571,Medium
Mumbai,11.372374182184256,57.02314278367023,28.0,25.27921020522811,Medium
Pune,11.373795673955529,67.09388385265773,10.0,25.097748367537747,Medium
Hyderabad,11.429970811910605,65.45165241396971,8.0,24.42089559063879,Low
Chennai,11.284848346066912,54.490728796605,14.0,22.493591206791397,Low
